school,region,method,old_lat,old_lon,new_lat,new_lon
KWAME DANSO SENIOR HIGH/TECH SCHOOL,BONO EAST,TOWN_LOOKUP:KWAME DANSO,10.9324723,-0.9735882,7.75,-1.2
BUSUNYA SENIOR HIGH SCHOOL,BONO EAST,TOWN_LOOKUP:BUSUNYA,7.3366184,-2.304839,7.8,-1.4
ASUKAWKAW SENIOR HIGH SCHOOL,OTI,TOWN_LOOKUP:ASUKAWKAW,5.4234565,-0.9611574,7.75,0.05
OKUAPEMAN SENIOR HIGH SCHOOL,EASTERN,TOWN_LOOKUP:AKROPONG,5.5950893,-0.277005,6.65,-1.5833
NKRANKWANTA COMM SENIOR HIGH SCHOOL,BONO,TOWN_LOOKUP:NKRANKWANTA,10.8086801,-0.8656292,7.75,-2.85
KYABOBO GIRLS SENIOR HIGH SCHOOL,OTI,TOWN_LOOKUP:NKWANTA,7.190168,0.337969,8.25,0.35
KPASSA SENIOR HIGH/TECH SCHOOL,OTI,TOWN_LOOKUP:KPASSA,10.0272463,-0.9731496,8.35,0.35
NKWANTA SENIOR HIGH SCHOOL,OTI,TOWN_LOOKUP:NKWANTA,10.6593164,-1.268658,8.25,0.35
NKWANTA COMM SENIOR HIGH SCHOOL,OTI,TOWN_LOOKUP:NKWANTA,10.6593164,-1.268658,8.25,0.35
BREMAN ASIKUMA SENIOR HIGH SCHOOL,CENTRAL,TOWN_LOOKUP:BREMAN ASIKUMA,5.5950893,-0.277005,5.35,-0.95
OKADJAKROM SENIOR HIGH/TECH SCHOOL,OTI,TOWN_LOOKUP:OKADJAKROM,5.4234565,-0.9611574,7.75,0.05
BAGLO RIDGE SENIOR HIGH/TECH SCHOOL,OTI,TOWN_LOOKUP:BAGLO,10.9324723,-0.9735882,8.25,0.35
BIBIANI SENIOR HIGH/TECH SCHOOL,WESTERN NORTH,TOWN_LOOKUP:BIBIANI,10.9324723,-0.9735882,6.4667,-2.3167
CHIRANO COMM. DAY SENIOR HIGH SCHOOL,WESTERN NORTH,TOWN_LOOKUP:CHIRANO,5.9668857,-0.9929572,6.05,-2.45
